Epoch,Train Loss,Val Loss,Train Acc,Val Acc
1,1.4307968794471688,1.8638080234328906,0.3661024305555556,0.3411458333333333
2,1.2216949330435858,1.234658549229304,0.4866536458333333,0.513671875
3,1.0664101890805695,1.2314383412400882,0.5698784722222222,0.5130208333333334
4,0.9537197223140134,1.1905227998892467,0.6234809027777778,0.5299479166666666
5,0.8450232042620579,1.041891365001599,0.673828125,0.6015625
6,0.753241735820969,0.9881557884315649,0.7166883680555556,0.623046875
7,0.666848875168297,1.0491196388999622,0.7492404513888888,0.5983072916666666
8,0.5789919588197436,1.0420920588076115,0.7891710069444444,0.62109375
9,0.49690116522833705,1.0304037816822529,0.8172743055555556,0.6432291666666666
10,0.3972652458275358,1.243010898431142,0.8601345486111112,0.623046875
11,0.3475512313759989,1.1863431831200917,0.8736979166666666,0.638671875
12,0.2748574314561362,1.2807178869843483,0.9014756944444444,0.6380208333333334
13,0.2244222895145261,1.5722340047359467,0.9223090277777778,0.6106770833333334
14,0.17378947449227175,1.6182198040187359,0.9401041666666666,0.6158854166666666
15,0.16051576568861492,1.7880425788462162,0.9428168402777778,0.61328125
16,0.12391684784638023,1.6195730579396088,0.9584418402777778,0.6263020833333334
17,0.1305023514012444,1.9568614078064759,0.9548611111111112,0.603515625
18,0.11807496057978521,1.9843613306681316,0.9587673611111112,0.611328125
19,0.09513595402111402,1.9686229154467583,0.96875,0.6282552083333334
20,0.07865432275826202,1.7842535202701886,0.9715711805555556,0.6223958333333334
Total Time,1091.1995570659637
